ID de transacción,Fecha,ID de cliente,Género,Edad,Categoría de producto,Cantidad,Precio por unidad,Importe total
1,2023-11-24,CUST001,Masculino,34,Belleza,3,50,150
2,2023-02-27,CUST002,Femenino,26,Ropa,2,500,1000
3,2023-01-13,CUST003,Masculino,50,Electrónica,1,30,30
4,2023-05-21,CUST004,Masculino,37,Ropa,1,500,500
5,2023-05-06,CUST005,Masculino,30,Belleza,2,50,100
6,2023-04-25,CUST006,Femenino,45,Belleza,1,30,30
7,2023-03-13,CUST007,Masculino,46,Ropa,2,25,50
8,2023-02-22,CUST008,Masculino,30,Electrónica,4,25,100
9,2023-12-13,CUST009,Masculino,63,Electrónica,2,300,600
10,2023-10-07,CUST010,Femenino,52,Ropa,4,50,200
11,2023-02-14,CUST011,Masculino,23,Ropa,2,50,100
12,2023-10-30,CUST012,Masculino,35,Belleza,3,25,75
13,2023-08-05,CUST013,Masculino,22,Electrónica,3,500,1500
14,2023-01-17,CUST014,Masculino,64,Ropa,4,30,120
15,2023-01-16,CUST015,Femenino,42,Electrónica,4,500,2000
16,2023-02-17,CUST016,Masculino,19,Ropa,3,500,1500
17,2023-04-22,CUST017,Femenino,27,Ropa,4,25,100
18,2023-04-30,CUST018,Femenino,47,Electrónica,2,25,50
19,2023-09-16,CUST019,Femenino,62,Ropa,2,25,50
20,2023-11-05,CUST020,Masculino,22,Ropa,3,300,900
21,2023-01-14,CUST021,Femenino,50,Belleza,1,500,500
22,2023-10-15,CUST022,Masculino,18,Ropa,2,50,100
23,2023-04-12,CUST023,Femenino,35,Ropa,4,30,120
24,2023-11-29,CUST024,Femenino,49,Ropa,1,300,300
25,2023-12-26,CUST025,Femenino,64,Belleza,1,50,50
26,2023-10-07,CUST026,Femenino,28,Electrónica,2,500,1000
27,2023-08-03,CUST027,Femenino,38,Belleza,2,25,50
28,2023-04-23,CUST028,Femenino,43,Belleza,1,500,500
29,2023-08-18,CUST029,Femenino,42,Electrónica,1,30,30
30,2023-10-29,CUST030,Femenino,39,Belleza,3,300,900
31,2023-05-23,CUST031,Masculino,44,Electrónica,4,300,1200
32,2023-01-04,CUST032,Masculino,30,Belleza,3,30,90
33,2023-03-23,CUST033,Femenino,50,Electrónica,2,50,100
34,2023-12-24,CUST034,Femenino,51,Ropa,3,50,150
35,2023-08-05,CUST035,Femenino,58,Belleza,3,300,900
36,2023-06-24,CUST036,Masculino,52,Belleza,3,300,900
37,2023-05-23,CUST037,Femenino,18,Belleza,3,25,75
38,2023-03-21,CUST038,Masculino,38,Belleza,4,50,200
39,2023-04-21,CUST039,Masculino,23,Ropa,4,30,120
40,2023-06-22,CUST040,Masculino,45,Belleza,1,50,50
41,2023-02-22,CUST041,Masculino,34,Ropa,2,25,50
42,2023-02-17,CUST042,Masculino,22,Ropa,3,300,900
43,2023-07-14,CUST043,Femenino,48,Ropa,1,300,300
44,2023-02-19,CUST044,Femenino,22,Ropa,1,25,25
45,2023-07-03,CUST045,Femenino,55,Electrónica,1,30,30
46,2023-06-26,CUST046,Femenino,20,Electrónica,4,300,1200
47,2023-11-06,CUST047,Femenino,40,Belleza,3,500,1500
48,2023-05-16,CUST048,Masculino,54,Electrónica,3,300,900
49,2023-01-23,CUST049,Femenino,54,Electrónica,2,500,1000
50,2023-08-24,CUST050,Femenino,27,Belleza,3,25,75
51,2023-10-02,CUST051,Masculino,27,Belleza,3,25,75
52,2023-03-05,CUST052,Femenino,36,Belleza,1,300,300
53,2023-07-13,CUST053,Masculino,34,Electrónica,2,50,100
54,2023-02-10,CUST054,Femenino,38,Electrónica,3,500,1500
